conv,linear,batch norm,activation,pooling
602112.0,0.0,0.0,1605632.0,0.0
44957696.0,0.0,0.0,1605632.0,0.0
41746432.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
41746432.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
41746432.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
41746432.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
16056320.0,0.0,0.0,1605632.0,0.0
52985856.0,0.0,0.0,1605632.0,0.0
14450688.0,0.0,0.0,1605632.0,0.0
51380224.0,0.0,0.0,1605632.0,0.0
64225280.0,0.0,0.0,1605632.0,0.0
828506112.0,0.0,0.0,1605632.0,0.0
174010368.0,0.0,0.0,1605632.0,0.0
2408448.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
0.0,0.0,0.0,1605632.0,0.0
