conv,linear,batch norm,activation,pooling
602112.0,0.0,0.0,12845056.0,0.0
359661568.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
29607854080.0,0.0,0.0,12845056.0,0.0
